,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
81,The Children (1980 film),7276187,"The Children (a.k.a. The Children of Ravensback) is a 1980 low-budget horror film, written and produced by Carlton J. Albright. The movie is about five children in a small town who, thanks to a yellow toxic cloud, are transformed into bloodless zombies with black fingernails who microwave every living thing they put their hands on. The surviving adults of the town must attempt to put a stop to them. The film is distributed by Troma Entertainment.",Gale Garnett-Gil Rogers-Martin Shakar,The Children,1980 films-1980 horror films-1980s psychological thriller films-American films-American supernatural horror films-English-language films-Films scored by Harry Manfredini-Films set in the United States-Troma Entertainment films,na,na,na,na,http://dbpedia.org/resource/English_language
82,The Legend of Sleepy Hollow (1980 film),39832820,"The Legend of Sleepy Hollow is a 1980 American made-for-television produced by Sunn Classic Pictures as a part of their Classics Illustrated series. Loosely based on Washington Irving's 1820 short story, it was filmed in Utah and shown on NBC. It starred Jeff Goldblum as Ichabod Crane, Meg Foster as Katrina von Tassel, and Dick Butkus as Brom Bones. The film is also known as La leggenda di Sleepy Hollow in Italy. It was directed by Henning Schellerup. Executive producer Charles Sellier was nominated for an Emmy Award for his work on the movie..",H.E.D. Redford-Karin Isaacson-Laura Campbell-Marneen Fields-Michael Ruud-Michael Witt-Tiger Thompson-Dick Butkus-James Griffith-Jeff Goldblum-John Sylvester White-Meg Foster-Paul Sand,The Legend of Sleepy Hollow,1980 films-1980 horror films-American films-American horror television films-English-language television shows-Films based on The Legend of Sleepy Hollow-Films shot in Utah-NBC network original films,na,na,na,na,English
83,The Legend of Sleepy Hollow (1980 film),39832820,"The Legend of Sleepy Hollow is a 1980 American made-for-television produced by Sunn Classic Pictures as a part of their Classics Illustrated series. Loosely based on Washington Irving's 1820 short story, it was filmed in Utah and shown on NBC. It starred Jeff Goldblum as Ichabod Crane, Meg Foster as Katrina von Tassel, and Dick Butkus as Brom Bones. The film is also known as La leggenda di Sleepy Hollow in Italy. It was directed by Henning Schellerup. Executive producer Charles Sellier was nominated for an Emmy Award for his work on the movie..",H.E.D. Redford-Karin Isaacson-Laura Campbell-Marneen Fields-Michael Ruud-Michael Witt-Tiger Thompson-Dick Butkus-James Griffith-Jeff Goldblum-John Sylvester White-Meg Foster-Paul Sand,The Legend of Sleepy Hollow,1980 horror films-1980 television films-1980s ghost films,na,na,na,na,English
84,Friday the 13th (1980 film),168958,"Friday the 13th is a 1980 American slasher film produced and directed by Sean S. Cunningham, written by Victor Miller, and starring Betsy Palmer, Adrienne King, Harry Crosby, Laurie Bartram, Mark Nelson, Jeannine Taylor, Robbi Morgan, and Kevin Bacon. Its plot follows a group of teenage camp counselors who are murdered one by one by an unknown killer while attempting to re-open an abandoned summer camp.",-Adrienne King-Betsy Palmer-Harry Crosby-Jeannine Taylor-Kevin Bacon-Laurie Bartram-Mark Nelson-Robbi Morgan,Friday the 13th,1980s serial killer films-American films-American independent films-American serial killer films-Films about summer camps-Films set in 1957-Films set in 1979,na,Sean S. Cunningham,5.98E7,Sean S. Cunningham,English
85,Friday the 13th (1980 film),168958,"Friday the 13th is a 1980 American slasher film produced and directed by Sean S. Cunningham, written by Victor Miller, and starring Betsy Palmer, Adrienne King, Harry Crosby, Laurie Bartram, Mark Nelson, Jeannine Taylor, Robbi Morgan, and Kevin Bacon. Its plot follows a group of teenage camp counselors who are murdered one by one by an unknown killer while attempting to re-open an abandoned summer camp.",-Adrienne King-Betsy Palmer-Harry Crosby-Jeannine Taylor-Kevin Bacon-Laurie Bartram-Mark Nelson-Robbi Morgan,Friday the 13th,1980 films-1980 horror films-1980 independent films-1980s slasher films-American slasher films-American teen films-English-language films-Films directed by Sean S. Cunningham-Films scored by Harry Manfredini-Films set in 1958-Films set in New Jersey-Films set in forests-Films shot in New Jersey-Films with screenplays by Victor Miller (writer)-Friday the 13th (franchise) films-Paramount Pictures films-Warner Bros. films,na,Sean S. Cunningham,5.98E7,Sean S. Cunningham,English
86,Saboot,25583720,"Saboot (transl. Evidence) is a 1980 Hindi-language horror film directed by Shyam Ramsay and Tulsi Ramsay. It stars Navin Nischol, Kajal Kiran, Vidya Sinha, Vinod Mehra. In this movie, two sisters lose their father and one of their husbands, then become the focus of an investigation as the men who killed the father and husband begin to die mysteriously.",Kajal Kiran-Navin Nischol-Vidya Sinha-Vinod Mehra,Saboot,1980 films-1980 horror films-1980s Hindi-language films-1980s slasher films-Films scored by Bappi Lahiri-Hindi-language horror films-Indian films-Indian horror films-Indian slasher films,na,Tulsi Ramsay,na,Tulsi Ramsay,http://dbpedia.org/resource/Hindi
87,Zoom In: Rape Apartments,10015709,"Zoom In: Rape Apartments (ズームイン　暴行団地, Zoom In: Bōkō Danchi) is a 1980 violent pink film in Nikkatsu's Roman Porno series. It was director Naosuke Kurosawa's debut work.",Erina Miyai-Yōko Azusa,Zoom In: Rape Apartments,1980 films-1980 horror films-1980s exploitation films-1980s thriller films-Erotic horror films-Films about rape-Films set in apartment buildings-Japanese films-Japanese horror films-Nikkatsu Roman Porno-Nikkatsu films,na,na,na,na,Japanese
88,Delusion (1980 film),37326556,"Delusion (also known as The House Where Death Lives) is a 1980 American psychological horror and slasher film directed by Alan Beattie, and starring Patricia Pearcy, Joseph Cotten, David Hayward, and John Dukakis. The film's poster art is based on Charles Allan Gilbert's 1892 illustration All Is Vanity.",David Hayward-Alice Nunn-John Dukakis-Joseph Cotten-Patricia Pearcy,Delusion,1980 films-1980 horror films-1980s slasher films-American films-American psychological horror films-American thriller films,na,na,na,na,http://dbpedia.org/resource/English_language
89,Macabre (1980 film),31365340,Macabre (Italian: Macabro) is a 1980 Italian horror film directed by Lamberto Bava.,-Bernice Stegers-Elisa Kadigia Bove-Roberto Posse-Stanko Molnar-Veronica Zinny,Macabre,1980 films-1980 horror films-Films about blind people-Films directed by Lamberto Bava-Films set in New Orleans-Films shot in Italy-Films shot in New Orleans-Fratricide in fiction-Italian films-Italian horror films-Mental illness in films-Necrophilia in film,Franco Delli Colli,Lamberto Bava,na,Lamberto Bava,na
90,The Sleep of Death,28799479,"The Sleep of Death (a.k.a. The Inn of the Flying Dragon) is a 1980 Swedish-Irish historical horror film written and directed by and starring Per Oscarsson, Curd Jürgens, Patrick Magee and Marilù Tolo. It is based on the 1872 novella The Room in the Dragon Volant by Sheridan Le Fanu. The film's Swedish title is Ondskans Värdshus.",Curd Jürgens-Marilù Tolo-Patrick Magee (actor)-Per Oscarsson,The Sleep of Death,1980 films-1980 horror films-English-language films-Films based on Irish novels-Films based on works by Sheridan Le Fanu-Irish films-Irish horror films-Swedish films-Swedish horror films,na,Calvin Floyd,na,Calvin Floyd,na
